pts_prelevement_original,pts_prelevement_normalise,classe_semantique_proposee,confiance,justification,decision_metier
SJH_DOM1_R1 (EM),sjh dom1 r1 em,indetermine,faible,aucun motif semantique robuste detecte,
AVAL AIN KARMA,aval ain karma,indetermine,faible,aucun motif semantique robuste detecte,
AVAL REJET BOUFEKRANE,aval rejet boufekrane,rejet,haute,mention explicite de rejet,
AVAL REJET MOULAY DRISS ZARHOUN,aval rejet moulay driss zarhoun,rejet,haute,mention explicite de rejet,
AVAL REJET MOULAY YAACOUB,aval rejet moulay yaacoub,rejet,haute,mention explicite de rejet,
Aval STEP (Aval Conf. Chaaba avec Oued Tiflet),aval step aval conf chaaba avec oued tiflet,station_pompage,moyenne,mention explicite de step,
AVAL STEP OUED AMLIL,aval step oued amlil,station_pompage,moyenne,mention explicite de step,
AVAL VILLAGE AIT SIBERNE,aval village ait siberne,indetermine,faible,aucun motif semantique robuste detecte,
BFK_PDOM1_R1 (EM),bfk pdom1 r1 em,indetermine,faible,aucun motif semantique robuste detecte,
BSM_PDOM1_R2 (EM),bsm pdom1 r2 em,indetermine,faible,aucun motif semantique robuste detecte,
MERJA FOUARATE,merja fouarate,indetermine,faible,aucun motif semantique robuste detecte,
PT. O. BEHT AVAL BIORISINE,pt o beht aval biorisine,indetermine,faible,aucun motif semantique robuste detecte,
Rejet Industriel (SMK),rejet industriel smk,rejet,haute,mention explicite de rejet,
SBA_DOM1_R1 (EM),sba dom1 r1 em,indetermine,faible,aucun motif semantique robuste detecte,
TAZ_PDOM_R5 (E.M),taz pdom r5 e m,indetermine,faible,aucun motif semantique robuste detecte,
AVAL BOULEMANE,aval boulemane,indetermine,faible,aucun motif semantique robuste detecte,
REJET ABATTOIR AGOURAI,rejet abattoir agourai,rejet,haute,mention explicite de rejet,
REJET ABATTOIR OUED AMLIL ,rejet abattoir oued amlil,rejet,haute,mention explicite de rejet,
REJET BOULEMANE (EM),rejet boulemane em,rejet,haute,mention explicite de rejet,
S14 (Aval_Conf_Rejet_HFT (Al Haouafate),s14 aval conf rejet hft al haouafate,rejet,haute,mention explicite de rejet,
S15 (Aval_Conf_Sebou_ Ouagha (Dour El Kbara),s15 aval conf sebou ouagha dour el kbara,indetermine,faible,aucun motif semantique robuste detecte,
S16 (Aval_Conf_Rejet_KHN (Khnichet),s16 aval conf rejet khn khnichet,rejet,haute,mention explicite de rejet,
