id_parametre,nom_canonique,symbole,type_metier,unite_standard,regle_parsing,statut_parametre,flag_validation,volume_total_documente,volume_raw_select_echantillon,nb_variantes_documentees,variantes_metier_excel,variantes_documentees,tables_sources,statuts_mapping_sources,statuts_unite_sources,statuts_migration_sources,seuils_abh_disponibles,seuils_abh_refs,exemples_raw_readonly,decision_attendue,sources_documentaires
PM-D2-001,pH,pH,physico-chimie,— (sans unité),numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,10218,9819,3,ph | pH | pH au laboratoire,ph | pH | pH au laboratoire,idp_2024_mesures_qualite_marche_cadre | idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | suivi_qualite_sebou_jr | types_mesures,MAPPED_EXACT:8; MAPPED_BY_METIER_VARIANT:1,UNIT_UNKNOWN:9,NEEDS_UNIT_VALIDATION:9,oui,eaux de surface p.8 (PH) | eaux de rivières p.12 (pH) | eaux de lacs p.13 (pH) | eaux souterraines p.14 (pH),raw_suivi_qualite_sebou_jr : pH=NaN ; date=2023-12-07 ; point=2263/15 || raw_suivi_qualite_sebou_jr : pH=NaN ; date=2023-12-08 ; point=2263/15 || raw_suivi_qualite_sebou_jr : pH=8.2 ; date=2023-12-09 ; point=2263/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-002,NH4+,NH4+,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,9991,9529,7,Ammonium | NH4 | NH4+ | NH4+  Titri | NH4+ 2 | NH4+ Spect | NH4+(mgNH4+/l),Ammonium | NH4+ | NH4+ Spect | NH4 | NH4+  Titri | NH4+ 2 | NH4+(mgNH4+/l),idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | suivi_qualite_sebou_jr | types_mesures,MAPPED_BY_METIER_VARIANT:8; MAPPED_EXACT:3,UNIT_MISSING:6; UNIT_OK:4; UNIT_CONFLICT:1,NEEDS_UNIT_VALIDATION:7; NEEDS_BIBLIO_VALIDATION:4,oui,eaux de surface p.8 (Ammonium) | eaux de rivières p.12 (Ammonium NH4) | eaux de lacs p.13 (Ammonium) | eaux souterraines p.14 (Ammonium),raw_suivi_qualite_sebou_jr : Ammonium=NaN ; date=2023-12-07 ; point=2263/15 || raw_suivi_qualite_sebou_jr : Ammonium=NaN ; date=2023-12-08 ; point=2263/15 || raw_suivi_qualite_sebou_jr : Ammonium=32.112 ; date=2023-12-09 ; point=2263/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-003,NO3-,NO3-,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,5661,5656,4,NO3- | NO3-(mg/l) | NO3-_Réduction Cd | NO3-_Spectro,NO3- | NO3-(mg/l) | NO3-_Réduction Cd | NO3-_Spectro,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,MAPPED_EXACT:6; MAPPED_BY_METIER_VARIANT:2,UNIT_OK:6; UNIT_MISSING:2,OK_WITH_FLAG:3; QUARANTINE_BEFORE_MIGRATION:2; OK_FOR_MIGRATION:1; NEEDS_UNIT_VALIDATION:2,oui,eaux de surface p.8 (Nitrates (NO3-)) | eaux de rivières p.12 (Nitrates (NO3-)) | eaux de lacs p.13 (Nitrates) | eaux souterraines p.14 (Nitrates),raw_mesures_qualite_nappes : NO3-=14.8 ; date=1988-10-03 ; point=1652/22 || raw_mesures_qualite_nappes : NO3-=6.6 ; date=1989-03-31 ; point=2528/15 || raw_mesures_qualite_nappes : NO3-=29 ; date=1990-09-20 ; point=1182/14,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-004,NO2-,NO2-,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,4813,4812,2,NO2- | NO2- _Spectro.,NO2- | NO2- _Spectro.,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,MAPPED_EXACT:5; MAPPED_BY_METIER_VARIANT:1,UNIT_OK:5; UNIT_MISSING:1,OK_WITH_FLAG:2; NEEDS_UNIT_VALIDATION:1; QUARANTINE_BEFORE_MIGRATION:2; OK_FOR_MIGRATION:1,non,,raw_mesures_qualite_nappes : NO2-=0 ; date=1991-01-24 ; point=159/22 || raw_mesures_qualite_nappes : NO2-=0.01 ; date=1991-03-22 ; point=1161/15 || raw_mesures_qualite_nappes : NO2-=0.02 ; date=1991-03-26 ; point=160/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-005,PO4³-,PO4³-,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,2744,2742,4,PO3 | PO4 3- | PO43- | PO43-(mgP/l),PO43- | PO3 | PO4 3- | PO43-(mgP/l),idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,MAPPED_EXACT:7; MAPPED_BY_METIER_VARIANT:1,UNIT_MISSING:3; UNIT_OK:4; UNIT_CONFLICT:1,NEEDS_UNIT_VALIDATION:4; NEEDS_BIBLIO_VALIDATION:4,oui,eaux de surface p.8 (Phosphates (PO4--)) | eaux de rivières p.12 (Orthophosphates (PO4³-)) | eaux de lacs p.13 (Orthophosphates (PO4³-)),raw_mesures_qualite_rivieres : PO4 3-=9.2 ; date=1988-10-05 ; point=2496/15 || raw_mesures_qualite_rivieres : PO4 3-=0.116 ; date=1988-10-06 ; point=1236/14 || raw_mesures_qualite_rivieres : PO4 3-=4.566 ; date=1988-10-06 ; point=1540/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-006,DCO,DCO,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,7034,7027,4,DCO | DCO  2h décant. | DCO  D   2h | DCO_dec2h,DCO | DCO  2h décant. | DCO  D   2h,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_sebou_jr | types_mesures,MAPPED_EXACT:7; MAPPED_BY_METIER_VARIANT:2,UNIT_CONFLICT:7; UNIT_MISSING:2,NEEDS_UNIT_VALIDATION:9,oui,eaux de surface p.8 (DCO) | eaux de rivières p.12 (DCO),raw_suivi_qualite_sebou_jr : DCO=NaN ; date=2023-12-07 ; point=2263/15 || raw_suivi_qualite_sebou_jr : DCO=NaN ; date=2023-12-08 ; point=2263/15 || raw_suivi_qualite_sebou_jr : DCO=NaN ; date=2023-12-09 ; point=2263/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-007,DBO5,DBO5,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,6884,6883,2,DBO5 | DBO5_dec2h,DBO5,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_sebou_jr | types_mesures,MAPPED_EXACT:7,UNIT_CONFLICT:7,NEEDS_UNIT_VALIDATION:7,oui,eaux de surface p.8 (DBO 5) | eaux de rivières p.12 (DBO5),raw_suivi_qualite_sebou_jr : DBO5=NaN ; date=2023-12-07 ; point=2263/15 || raw_suivi_qualite_sebou_jr : DBO5=NaN ; date=2023-12-08 ; point=2263/15 || raw_suivi_qualite_sebou_jr : DBO5=NaN ; date=2023-12-09 ; point=2263/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-008,MES,MES,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,2823,2822,3,MES | MEST Filtr | MEST(mg/l),MES | MEST(mg/l) | MEST Filtr,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,MAPPED_EXACT:5; MAPPED_BY_METIER_VARIANT:2,UNIT_OK:6; UNIT_MISSING:1,NEEDS_BIBLIO_VALIDATION:5; NEEDS_UNIT_VALIDATION:1; OK_WITH_FLAG:1,oui,eaux de surface p.8 (MES) | eaux de rivières p.12 (MES) | eaux de lacs p.13 (MES),raw_mesures_qualite_rivieres : MES=343 ; date=1988-09-22 ; point=1000/23 || raw_mesures_qualite_rivieres : MES=40.8 ; date=1988-10-04 ; point=2169/15 || raw_mesures_qualite_rivieres : MES=6558 ; date=1988-10-05 ; point=2496/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-009,Cond,Cond,physico-chimie,µS/cm,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,10230,9825,5,Cond 25°C | cond_20_c | Conductivite | Conductivité | Conductivitéà20°C(µs/cm),Cond 25°C | cond_20_c | Conductivite | Conductivité | Conductivitéà20°C(µs/cm),idp_2024_mesures_qualite_marche_cadre | idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | suivi_qualite_sebou_jr | types_mesures,MAPPED_BY_METIER_VARIANT:9,UNIT_CONFLICT:1; UNIT_MISSING:3; UNIT_OK:5,NEEDS_UNIT_VALIDATION:4; NEEDS_BIBLIO_VALIDATION:5,oui,eaux de surface p.8 (Conductivité à 20° C) | eaux de rivières p.12 (CE 20°c) | eaux de lacs p.13 (CE 20°c) | eaux souterraines p.14 (CE 20°c),raw_suivi_qualite_sebou_jr : Conductivité=NaN ; date=2023-12-07 ; point=2263/15 || raw_suivi_qualite_sebou_jr : Conductivité=NaN ; date=2023-12-08 ; point=2263/15 || raw_suivi_qualite_sebou_jr : Conductivité=1668 ; date=2023-12-09 ; point=2263/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-010,T_eau,T_eau,physico-chimie,°C,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,10219,9827,2,t_eau | T_eau,t_eau | T_eau,idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | suivi_qualite_sebou_jr | types_mesures,MAPPED_EXACT:8,UNIT_MISSING:2; UNIT_OK:6,NEEDS_UNIT_VALIDATION:2; NEEDS_BIBLIO_VALIDATION:6,oui,eaux de surface p.8 (Température) | eaux de rivières p.12 (Température) | eaux de lacs p.13 (Température) | eaux souterraines p.14 (Température),raw_suivi_qualite_sebou_jr : T_eau=NaN ; date=2023-12-07 ; point=2263/15 || raw_suivi_qualite_sebou_jr : T_eau=NaN ; date=2023-12-08 ; point=2263/15 || raw_suivi_qualite_sebou_jr : T_eau=18.6 ; date=2023-12-09 ; point=2263/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
