code_parametre,nom_canonique,symbole,unite_standard,type_metier,theme,sous_theme,regle_parsing,attributs_obligatoires,attributs_optionnels,variantes_associees,statut_validation,flag,justification_decision,source_decision,commentaire_migration
AG,Ag,Ag,mg/L,physico-chimie,Argent (Silver),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Ag,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
AL,Al,Al,mg/L,métaux lourds,Aluminium,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Al | Aluminium(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
APPORTS_HM3,Apports_hm3,Apports_hm3,Mm³,hydrologie,Apports en eau (hm³ ou Mm³),à confirmer,numeric_decimal_comma + null_non_migre_si_applicable + flags_series_temporelles + quarantine_non_convertible,,,apports_hm | Apports_hm3 | apports_mm3,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
AS,As,As,mg/L,métaux lourds,Arsenic,arsenic,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Arsenic | Arsenic(mg/l) | As_ | As,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
BA,Ba,Ba,mg/L,physico-chimie,Baryum,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Ba,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
BE,Be,Be,mg/L,physico-chimie,Béryllium,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Be | Beryllium(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
BILAN_ION,Bilan_Ion,Bilan_Ion,%,physico-chimie,Bilan ionique (vérification équilibre charges),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Bilan_Ion | Bilan_Ionique,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CA,Ca,Ca,mg/L,physico-chimie,Calcium,cations,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Ca | Ca++ | Ca²+ | Calcium,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CAP_EQUIV,Cap_equiv,Cap_equiv,EH,physico-chimie,Capacité équivalente habitants (EH),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Cap_equiv | cap_equiv_hab,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CD,Cd,Cd,mg/L,métaux lourds,Cadmium,cadmium,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Cadmium | Cadmium(mg/l) | Cd,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CF,CF,CF,UFC/100 mL,bactériologie,Coliformes Fécaux (E. coli),coliformes,numeric_microbio + decimal_comma + scientific_notation + limites_detection + quarantine_non_convertible,type_valeur,,CF | CF(UFC/100mL) | Coliformes_fecaux,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CHLA,Chla,Chla,µg/L,physico-chimie,Chlorophylle a (algues),chlorophylle,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Chl | Chl a | Chl.A(µg/l) | Chla | Chlorophylle_a,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CL,Cl-,Cl-,mg/L,physico-chimie,Chlorures,anions,numeric_decimal_comma + limites_detection + quarantine_non_convertible,methode_analyse,,Chlorures | Cl | Cl- | Cl-_IC | Cl-(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
