code_parametre,nom_canonique,symbole,unite_standard,type_metier,theme,sous_theme,regle_parsing,attributs_obligatoires,attributs_optionnels,variantes_associees,statut_validation,flag,justification_decision,source_decision,commentaire_migration
AG,Ag,Ag,mg/L,physico-chimie,Argent (Silver),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Ag,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
AL,Al,Al,mg/L,métaux lourds,Aluminium,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Al | Aluminium(mg/l),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
APPORTS_HM3,Apports_hm3,Apports_hm3,Mm³,hydrologie,Apports en eau (hm³ ou Mm³),à confirmer,numeric_decimal_comma + null_non_migre_si_applicable + flags_series_temporelles + quarantine_non_convertible,,,Apports_hm3 | apports_hm | apports_mm3,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
AS,Arsenic,As,mg/L,métaux lourds,métaux,arsenic,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,As | Arsenic | Arsenic(mg/l) | As_,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
BA,Ba,Ba,mg/L,physico-chimie,Baryum,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Ba,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
BE,Be,Be,mg/L,physico-chimie,Béryllium,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Be | Beryllium(mg/l),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
BILAN_ION,Bilan_Ion,Bilan_Ion,%,physico-chimie,Bilan ionique (vérification équilibre charges),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Bilan_Ion | Bilan_Ionique,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CA,Calcium,Ca²+,mg/L,physico-chimie,ions majeurs,cations,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Ca | Ca++ | Calcium | Ca²+,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CAP_EQUIV,Cap_equiv,Cap_equiv,EH,physico-chimie,Capacité équivalente habitants (EH),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Cap_equiv | cap_equiv_hab,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CD,Cadmium,Cd,mg/L,métaux lourds,métaux,cadmium,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Cd | Cadmium | Cadmium(mg/l),VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CF,Coliformes_fecaux,CF,UFC/100 mL,bactériologie,microbiologie,coliformes,numeric_microbio + decimal_comma + scientific_notation + limites_detection + quarantine_non_convertible,type_valeur,,CF | CF(UFC/100mL) | Coliformes_fecaux,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CHLA,Chlorophylle_a,Chla,µg/L,physico-chimie,eutrophisation,chlorophylle,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Chla | Chl | Chl a | Chl.A(µg/l) | Chlorophylle_a,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CL,Chlorures,Cl-,mg/L,physico-chimie,ions majeurs,anions,numeric_decimal_comma + limites_detection + quarantine_non_convertible,methode_analyse,,Cl- | Cl | Cl-(mg/l) | Cl-_IC | Chlorures,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CL2_RES,Cl2_res,Cl2_res,mg/L,physico-chimie,Chlore résiduel,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Cl2_res,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CLOSTRI,Clostri,Clostri,spores/100 mL,physico-chimie,Clostridium sulfito-réducteurs,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Clostri | Clostri_sul_redu,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CN,CN-,CN-,mg/L,physico-chimie,Cyanures,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,CN- | CN | CN(mg/l),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
