source_table,volume,motif,action_attendue
staging.raw_idp_2024_mesures_qualite_globale,275,GEO_NO_XY,completer ou confirmer XY avant migration finale
staging.raw_idp_2024_src_pollution_globale,36,GEO_NO_XY,completer ou confirmer XY avant migration finale
staging.raw_idp_2024_mesures_qualite_globale,1877,GEO_AMBIGUOUS_XY_2M,arbitrage metier sur le bon candidat geo
staging.raw_idp_2024_mesures_qualite_marche_cadre,1748,GEO_AMBIGUOUS_XY_2M,arbitrage metier sur le bon candidat geo
staging.raw_idp_2024_src_pollution_globale,97,GEO_AMBIGUOUS_XY_2M,arbitrage metier sur le bon candidat geo
staging.raw_idp_2024_src_pollution_marche_cadre,68,GEO_AMBIGUOUS_XY_2M,arbitrage metier sur le bon candidat geo
staging.raw_idp_2024_mesures_qualite_globale,1966,GEO_ORPHAN_XY_2M,rattachement geo manquant a traiter avant migration finale
staging.raw_idp_2024_mesures_qualite_marche_cadre,1866,GEO_ORPHAN_XY_2M,rattachement geo manquant a traiter avant migration finale
staging.raw_idp_2024_src_pollution_globale,70,GEO_ORPHAN_XY_2M,rattachement geo manquant a traiter avant migration finale
staging.raw_idp_2024_src_pollution_marche_cadre,80,GEO_ORPHAN_XY_2M,rattachement geo manquant a traiter avant migration finale
staging.raw_stations_abhs,390,GEO_SUPPORT_TABLE_NOT_MEASURE,laisser hors E1 mesure ; traiter dans un lot referentiel/infra
staging.raw_sources_abhs,135,GEO_SUPPORT_TABLE_NOT_MEASURE,laisser hors E1 mesure ; traiter dans un lot referentiel/infra
staging.raw_huileries_abhs,319,GEO_SUPPORT_TABLE_NOT_MEASURE,laisser hors E1 mesure ; traiter dans un lot referentiel/infra
staging.raw_profils_stations,1980,GEO_SUPPORT_TABLE_NOT_MEASURE,laisser hors E1 mesure ; traiter dans un lot referentiel/infra
