schema,table,statut,priorite,volume_lignes,nb_parametres,nb_problemes,problemes,sql_en_attente,fiche
hydro,barrage_bathymetrie,PENDING,Moyenne,62359,1,0,aucun problème critique détecté automatiquement,sql_en_attente/hydro_barrage_bathymetrie.sql,01_fiches_tables/hydro_barrage_bathymetrie.md
hydro,mesure_barrage,PENDING,Moyenne,84831,1,1,valeurs nulles,sql_en_attente/hydro_mesure_barrage.sql,01_fiches_tables/hydro_mesure_barrage.md
hydro,mesure_debit,PENDING,Élevée,521433,1,1,valeurs négatives,sql_en_attente/hydro_mesure_debit.sql,01_fiches_tables/hydro_mesure_debit.md
hydro,mesure_debit_mensuel,PENDING,Moyenne,19316,1,0,aucun problème critique détecté automatiquement,sql_en_attente/hydro_mesure_debit_mensuel.sql,01_fiches_tables/hydro_mesure_debit_mensuel.md
hydro,mesure_debit_source,PENDING,Moyenne,2816,1,0,aucun problème critique détecté automatiquement,sql_en_attente/hydro_mesure_debit_source.sql,01_fiches_tables/hydro_mesure_debit_source.md
hydro,regle_qualite_debit_source,PENDING,Moyenne,19,0,0,aucun problème critique détecté automatiquement,sql_en_attente/hydro_regle_qualite_debit_source.sql,01_fiches_tables/hydro_regle_qualite_debit_source.md
hydro,regle_qualite_debit_station,PENDING,Moyenne,390,0,0,aucun problème critique détecté automatiquement,sql_en_attente/hydro_regle_qualite_debit_station.sql,01_fiches_tables/hydro_regle_qualite_debit_station.md
meteo,mesure_evaporation,PENDING,Moyenne,48900,1,1,valeurs nulles,sql_en_attente/meteo_mesure_evaporation.sql,01_fiches_tables/meteo_mesure_evaporation.md
meteo,mesure_precipitation,PENDING,Élevée,546007,3,2,unités à valider | valeurs nulles,sql_en_attente/meteo_mesure_precipitation.sql,01_fiches_tables/meteo_mesure_precipitation.md
meteo,mesure_precipitation_annuelle_max,PENDING,Moyenne,2085,0,0,aucun problème critique détecté automatiquement,sql_en_attente/meteo_mesure_precipitation_annuelle_max.sql,01_fiches_tables/meteo_mesure_precipitation_annuelle_max.md
meteo,mesure_temperature,PENDING,Moyenne,0,3,0,aucun problème critique détecté automatiquement,sql_en_attente/meteo_mesure_temperature.sql,01_fiches_tables/meteo_mesure_temperature.md
meteo,regle_qualite_evaporation_station,PENDING,Moyenne,390,0,0,aucun problème critique détecté automatiquement,sql_en_attente/meteo_regle_qualite_evaporation_station.sql,01_fiches_tables/meteo_regle_qualite_evaporation_station.md
qualite,mesure_qualite_barrage,PENDING,Critique,15808,98,4,cas de quarantaine associés | mapping ambigu ou absent | unités à valider | valeurs nulles,sql_en_attente/qualite_mesure_qualite_barrage.sql,01_fiches_tables/qualite_mesure_qualite_barrage.md
